[Header]
0.49000	1118
0.49167	1118
0.49333	1118
0.49500	1117
0.49667	1118
0.49833	1118
0.50000	1118
0.50167	1118
0.50333	1118
0.50500	1118
0.50667	1118
0.50833	1118
0.51000	1118
0.51167	1118
0.51333	1118
0.51500	1118
0.51667	1118
0.51833	1118
0.52000	1118
0.52167	1119
0.52333	1118
0.52500	1118
0.52667	1119
0.52833	1118
0.53000	1118
0.53167	1119
0.53333	1118
0.53500	1119
0.53667	1118
0.53833	1119
0.54000	1118
0.54167	1119
0.54333	1118
0.54500	1119
0.54667	1119
0.54833	1118
0.55000	1119
0.55167	1118
0.55333	1118
0.55500	1118
0.55667	1118
0.55833	1117
0.56000	1118
0.56167	1118
0.56333	1117
0.56500	1117
0.56667	1118
0.56833	1117
0.57000	1117
0.57167	1118
0.57333	1117
0.57500	1117
0.57667	1117
0.57833	1117
0.58000	1117
0.58167	1117
0.58333	1117
0.58500	1117
0.58667	1117
0.58833	1117
0.59000	1116
0.59167	1117
0.59333	1116
0.59500	1116
0.59667	1117
0.59833	1116
0.60000	1116
0.60167	1117
0.60333	1116
0.60500	1116
0.60667	1116
0.60833	1116
0.61000	1116
0.61167	1116
0.61333	1116
0.61500	1115
0.61667	1116
0.61833	1115
0.62000	1115
0.62167	1115
0.62333	1115
0.62500	1115
0.62667	1114
0.62833	1115
0.63000	1115
0.63167	1114
0.63333	1115
0.63500	1115
0.63667	1114
0.63833	1115
0.64000	1114
0.64167	1114
0.64333	1115
0.64500	1114
0.64667	1115
0.64833	1115
0.65000	1114
0.65167	1115
0.65333	1115
0.65500	1115
0.65667	1114
0.65833	1115
0.66000	1115
0.66167	1115
0.66333	1115
0.66500	1115
0.66667	1115
0.66833	1115
0.67000	1115
0.67167	1116
0.67333	1115
0.67500	1116
0.67667	1116
0.67833	1116
0.68000	1115
0.68167	1116
0.68333	1116
0.68500	1116
0.68667	1116
0.68833	1116
0.69000	1115
0.69167	1116
0.69333	1116
0.69500	1115
0.69667	1116
0.69833	1115
0.70000	1116
0.70167	1115
0.70333	1115
0.70500	1116
0.70667	1115
0.70833	1115
0.71000	1115
0.71167	1115
0.71333	1115
0.71500	1115
0.71667	1114
0.71833	1115
0.72000	1114
0.72167	1114
0.72333	1115
0.72500	1114
0.72667	1114
0.72833	1114
0.73000	1114
0.73167	1114
0.73333	1114
0.73500	1114
0.73667	1115
0.73833	1114
0.74000	1115
0.74167	1114
0.74333	1115
0.74500	1114
0.74667	1115
0.74833	1114
0.75000	1115
0.75167	1115
0.75333	1114
0.75500	1115
0.75667	1115
0.75833	1115
0.76000	1115
0.76167	1115
0.76333	1114
0.76500	1115
0.76667	1115
0.76833	1115
0.77000	1115
0.77167	1115
0.77333	1115
0.77500	1115
0.77667	1115
0.77833	1114
0.78000	1115
0.78167	1114
0.78333	1115
0.78500	1114
0.78667	1115
0.78833	1114
0.79000	1115
0.79167	1114
0.79333	1115
0.79500	1114
0.79667	1114
0.79833	1115
0.80000	1114
0.80167	1114
0.80333	1114
0.80500	1114
0.80667	1113
0.80833	1114
0.81000	1113
0.81167	1114
0.81333	1113
0.81500	1113
0.81667	1114
0.81833	1113
0.82000	1113
0.82167	1113
0.82333	1113
0.82500	1112
0.82667	1113
0.82833	1112
0.83000	1112
0.83167	1112
0.83333	1112
0.83500	1112
0.83667	1112
0.83833	1111
0.84000	1111
0.84167	1112
0.84333	1111
0.84500	1110
0.84667	1111
0.84833	1110
0.85000	1111
0.85167	1110
0.85333	1110
0.85500	1110
0.85667	1109
0.85833	1110
0.86000	1109
0.86167	1110
0.86333	1109
0.86500	1109
0.86667	1109
0.86833	1109
0.87000	1108
0.87167	1109
0.87333	1109
0.87500	1109
0.87667	1108
0.87833	1109
0.88000	1108
0.88167	1108
0.88333	1109
0.88500	1108
0.88667	1109
0.88833	1108
0.89000	1108
0.89167	1109
0.89333	1108
0.89500	1108
0.89667	1108
0.89833	1108
0.90000	1108
0.90167	1109
0.90333	1108
0.90500	1108
0.90667	1108
0.90833	1108
0.91000	1108
0.91167	1108
0.91333	1108
0.91500	1107
0.91667	1108
0.91833	1108
0.92000	1108
0.92167	1108
0.92333	1108
0.92500	1108
0.92667	1108
0.92833	1109
0.93000	1108
0.93167	1108
0.93333	1109
0.93500	1108
0.93667	1109
0.93833	1108
0.94000	1109
0.94167	1109
0.94333	1109
0.94500	1109
0.94667	1109
0.94833	1108
0.95000	1109
0.95167	1109
0.95333	1109
0.95500	1109
0.95667	1109
0.95833	1108
0.96000	1109
0.96167	1108
0.96333	1108
0.96500	1108
0.96667	1108
0.96833	1109
0.97000	1108
0.97167	1108
0.97333	1108
0.97500	1108
0.97667	1108
0.97833	1109
0.98000	1108
0.98167	1108
0.98333	1109
0.98500	1108
0.98667	1108
0.98833	1109
0.99000	1108
0.99167	1109
0.99333	1108
0.99500	1109
0.99667	1108
0.99833	1108
1.00000	1108
1.00167	1108
1.00333	1108
1.00500	1108
1.00667	1108
1.00833	1108
1.01000	1108
1.01167	1107
1.01333	1107
1.01500	1107
1.01667	1107
1.01833	1106
1.02000	1106
1.02167	1107
1.02333	1105
1.02500	1106
1.02667	1105
1.02833	1106
1.03000	1105
1.03167	1105
1.03333	1104
1.03500	1105
1.03667	1104
1.03833	1104
1.04000	1104
1.04167	1105
1.04333	1104
1.04500	1104
1.04667	1104
1.04833	1105
1.05000	1104
1.05167	1104
1.05333	1104
1.05500	1105
1.05667	1104
1.05833	1104
1.06000	1104
1.06167	1105
1.06333	1104
1.06500	1104
1.06667	1104
1.06833	1104
1.07000	1104
1.07167	1104
1.07333	1104
1.07500	1103
1.07667	1104
1.07833	1103
1.08000	1103
1.08167	1103
1.08333	1102
1.08500	1102
1.08667	1102
1.08833	1101
1.09000	1102
1.09167	1101
1.09333	1102
1.09500	1101
1.09667	1101
1.09833	1101
1.10000	1101
1.10167	1100
1.10333	1101
1.10500	1101
1.10667	1101
1.10833	1101
1.11000	1100
1.11167	1101
1.11333	1101
1.11500	1101
1.11667	1101
1.11833	1102
1.12000	1101
1.12167	1102
1.12333	1101
1.12500	1102
1.12667	1102
1.12833	1102
1.13000	1102
1.13167	1102
1.13333	1103
1.13500	1102
1.13667	1103
1.13833	1102
1.14000	1103
1.14167	1102
1.14333	1102
1.14500	1103
1.14667	1103
1.14833	1102
1.15000	1103
1.15167	1103
1.15333	1103
1.15500	1103
1.15667	1102
1.15833	1103
1.16000	1103
1.16167	1103
1.16333	1102
1.16500	1103
1.16667	1102
1.16833	1103
1.17000	1103
1.17167	1102
1.17333	1103
1.17500	1102
1.17667	1103
1.17833	1102
1.18000	1103
1.18167	1102
1.18333	1103
1.18500	1102
1.18667	1103
1.18833	1102
1.19000	1102
1.19167	1102
1.19333	1103
1.19500	1102
1.19667	1103
1.19833	1102
1.20000	1103
1.20167	1102
1.20333	1103
1.20500	1102
1.20667	1103
1.20833	1103
1.21000	1102
1.21167	1103
1.21333	1103
1.21500	1103
1.21667	1102
1.21833	1103
1.22000	1103
1.22167	1103
1.22333	1103
1.22500	1103
1.22667	1103
1.22833	1103
1.23000	1103
1.23167	1104
1.23333	1103
1.23500	1104
1.23667	1103
1.23833	1103
1.24000	1102
1.24167	1103
1.24333	1103
1.24500	1102
1.24667	1102
1.24833	1103
1.25000	1102
1.25167	1102
1.25333	1102
1.25500	1102
1.25667	1103
1.25833	1102
1.26000	1102
1.26167	1102
1.26333	1102
1.26500	1102
1.26667	1102
1.26833	1102
1.27000	1102
1.27167	1102
1.27333	1101
1.27500	1102
1.27667	1102
1.27833	1102
1.28000	1101
1.28167	1102
1.28333	1102
1.28500	1102
1.28667	1102
1.28833	1101
1.29000	1102
1.29167	1102
1.29333	1102
1.29500	1102
1.29667	1102
1.29833	1102
1.30000	1101
1.30167	1102
1.30333	1102
1.30500	1102
1.30667	1102
1.30833	1102
1.31000	1102
1.31167	1102
1.31333	1103
1.31500	1102
1.31667	1102
1.31833	1102
1.32000	1102
1.32167	1102
1.32333	1102
1.32500	1102
1.32667	1102
1.32833	1103
1.33000	1102
1.33167	1102
1.33333	1102
1.33500	1102
1.33667	1102
1.33833	1102
1.34000	1103
1.34167	1102
1.34333	1103
1.34500	1102
1.34667	1102
1.34833	1103
1.35000	1102
1.35167	1102
1.35333	1102
1.35500	1101
1.35667	1102
1.35833	1102
1.36000	1102
1.36167	1101
1.36333	1102
1.36500	1101
1.36667	1101
1.36833	1100
1.37000	1101
1.37167	1101
1.37333	1100
1.37500	1100
1.37667	1101
1.37833	1100
1.38000	1100
1.38167	1100
1.38333	1100
1.38500	1100
1.38667	1100
1.38833	1100
1.39000	1101
1.39167	1100
1.39333	1100
1.39500	1101
1.39667	1101
1.39833	1101
1.40000	1100
1.40167	1102
1.40333	1100
1.40500	1101
1.40667	1101
1.40833	1102
1.41000	1101
1.41167	1101
1.41333	1101
1.41500	1100
1.41667	1101
1.41833	1101
1.42000	1100
1.42167	1100
1.42333	1100
1.42500	1099
1.42667	1099
1.42833	1100
1.43000	1099
1.43167	1099
1.43333	1099
1.43500	1099
1.43667	1098
1.43833	1099
1.44000	1098
1.44167	1099
1.44333	1098
1.44500	1098
1.44667	1098
1.44833	1098
1.45000	1098
1.45167	1098
1.45333	1098
1.45500	1098
1.45667	1098
1.45833	1098
1.46000	1099
1.46167	1098
1.46333	1099
1.46500	1099
1.46667	1100
1.46833	1099
1.47000	1100
1.47167	1100
1.47333	1100
1.47500	1100
1.47667	1100
1.47833	1100
1.48000	1100
1.48167	1101
1.48333	1100
1.48500	1101
1.48667	1100
1.48833	1101
1.49000	1101
1.49167	1101
1.49333	1101
1.49500	1101
1.49667	1101
1.49833	1100
1.50000	1101
1.50167	1101
1.50333	1101
1.50500	1101
1.50667	1100
1.50833	1101
1.51000	1101
1.51167	1101
1.51333	1101
1.51500	1100
1.51667	1101
1.51833	1101
1.52000	1101
1.52167	1101
1.52333	1101
1.52500	1101
1.52667	1101
1.52833	1100
1.53000	1100
1.53167	1101
1.53333	1101
1.53500	1100
1.53667	1100
1.53833	1101
1.54000	1100
1.54167	1100
1.54333	1100
1.54500	1099
1.54667	1100
1.54833	1099
1.55000	1100
1.55167	1099
1.55333	1100
1.55500	1099
1.55667	1099
1.55833	1099
1.56000	1098
1.56167	1099
1.56333	1098
1.56500	1098
1.56667	1099
1.56833	1098
1.57000	1097
1.57167	1098
1.57333	1098
1.57500	1097
1.57667	1098
1.57833	1097
1.58000	1097
1.58167	1097
1.58333	1097
1.58500	1097
1.58667	1096
1.58833	1097
1.59000	1096
1.59167	1097
1.59333	1096
1.59500	1097
1.59667	1096
1.59833	1096
1.60000	1096
1.60167	1096
1.60333	1096
1.60500	1096
1.60667	1096
1.60833	1097
1.61000	1096
1.61167	1097
1.61333	1096
1.61500	1097
1.61667	1096
1.61833	1097
1.62000	1097
1.62167	1097
1.62333	1097
1.62500	1098
1.62667	1097
1.62833	1098
1.63000	1098
1.63167	1097
1.63333	1098
1.63500	1098
1.63667	1097
1.63833	1098
1.64000	1098
1.64167	1098
1.64333	1098
1.64500	1097
1.64667	1098
1.64833	1097
1.65000	1097
1.65167	1098
1.65333	1097
1.65500	1096
1.65667	1097
1.65833	1097
1.66000	1096
1.66167	1096
1.66333	1096
1.66500	1096
1.66667	1096
1.66833	1096
1.67000	1095
1.67167	1095
1.67333	1095
1.67500	1095
1.67667	1094
1.67833	1095
1.68000	1094
1.68167	1094
1.68333	1094
1.68500	1094
1.68667	1094
1.68833	1093
1.69000	1094
1.69167	1093
1.69333	1093
1.69500	1093
1.69667	1093
1.69833	1092
1.70000	1093
1.70167	1092
1.70333	1093
1.70500	1092
1.70667	1092
1.70833	1093
1.71000	1092
1.71167	1093
1.71333	1092
1.71500	1093
1.71667	1093
1.71833	1093
1.72000	1093
1.72167	1093
1.72333	1094
1.72500	1093
1.72667	1094
1.72833	1093
1.73000	1094
1.73167	1094
1.73333	1094
1.73500	1094
1.73667	1094
1.73833	1094
1.74000	1094
1.74167	1094
1.74333	1094
1.74500	1094
1.74667	1094
1.74833	1093
1.75000	1093
1.75167	1094
1.75333	1093
1.75500	1093
1.75667	1092
1.75833	1092
1.76000	1092
1.76167	1092
1.76333	1091
1.76500	1092
1.76667	1091
1.76833	1091
1.77000	1091
1.77167	1091
1.77333	1091
1.77500	1090
1.77667	1090
1.77833	1090
1.78000	1090
1.78167	1090
1.78333	1090
1.78500	1090
1.78667	1090
1.78833	1089
1.79000	1090
1.79167	1090
1.79333	1090
1.79500	1090
1.79667	1090
1.79833	1090
1.80000	1090
1.80167	1090
1.80333	1091
1.80500	1090
1.80667	1091
1.80833	1090
1.81000	1091
1.81167	1090
1.81333	1091
1.81500	1092
1.81667	1091
1.81833	1091
1.82000	1091
1.82167	1091
1.82333	1091
1.82500	1091
1.82667	1091
1.82833	1091
1.83000	1091
1.83167	1091
1.83333	1091
1.83500	1091
1.83667	1091
1.83833	1090
1.84000	1091
1.84167	1091
1.84333	1090
1.84500	1091
1.84667	1090
1.84833	1091
1.85000	1090
1.85167	1090
1.85333	1090
1.85500	1090
1.85667	1090
1.85833	1089
1.86000	1089
1.86167	1090
1.86333	1089
1.86500	1088
1.86667	1089
1.86833	1089
1.87000	1089
1.87167	1089
1.87333	1088
1.87500	1089
1.87667	1089
1.87833	1088
1.88000	1089
1.88167	1089
1.88333	1088
1.88500	1089
1.88667	1088
1.88833	1088
1.89000	1089
1.89167	1088
1.89333	1088
1.89500	1089
1.89667	1088
1.89833	1089
1.90000	1088
1.90167	1089
1.90333	1089
1.90500	1089
1.90667	1089
1.90833	1089
1.91000	1089
1.91167	1089
1.91333	1089
1.91500	1090
1.91667	1089
1.91833	1089
1.92000	1090
1.92167	1089
1.92333	1089
1.92500	1089
1.92667	1089
1.92833	1089
1.93000	1089
1.93167	1089
1.93333	1089
1.93500	1089
1.93667	1089
1.93833	1089
1.94000	1089
1.94167	1089
1.94333	1089
1.94500	1089
1.94667	1089
1.94833	1089
1.95000	1089
1.95167	1089
1.95333	1089
1.95500	1089
1.95667	1089
1.95833	1088
1.96000	1089
1.96167	1088
1.96333	1089
1.96500	1089
1.96667	1088
1.96833	1089
1.97000	1088
1.97167	1089
1.97333	1088
1.97500	1088
1.97667	1088
1.97833	1088
1.98000	1088
1.98167	1088
1.98333	1087
1.98500	1088
1.98667	1087
1.98833	1087
1.99000	1087
1.99167	1087
1.99333	1087
1.99500	1088
1.99667	1087
1.99833	1087
2.00000	1087
2.00167	1088
2.00333	1087
2.00500	1087
2.00667	1087
2.00833	1088
2.01000	1087
2.01167	1087
2.01333	1087
2.01500	1088
2.01667	1087
2.01833	1088
2.02000	1087
2.02167	1088
2.02333	1087
2.02500	1088
2.02667	1087
2.02833	1088
2.03000	1088
2.03167	1087
2.03333	1088
2.03500	1088
2.03667	1087
2.03833	1088
2.04000	1087
2.04167	1088
2.04333	1087
2.04500	1087
2.04667	1088
2.04833	1087
2.05000	1087
